id,ElementProperty|MagpieData mean MendeleevNumber,GlobalSymmetryFeatures|spacegroup_num,ValenceOrbital|avg f valence electrons,ElementProperty|MagpieData maximum MendeleevNumber,LatticeConstants|a,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData maximum NdValence,AtomicOrbitals|gap_AO,YangSolidSolution|Yang delta,ElementProperty|MagpieData mode NUnfilled,LatticeConstants|c,ElementProperty|MagpieData maximum NUnfilled,ValenceOrbital|frac s valence electrons,AtomicOrbitals|LUMO_element,ElementProperty|MagpieData range NUnfilled,hull_distance
3264017,66.8,65,0.0,74,2.98562840425146,0,10,0.0,0.17740691724314,3,11.4748724966538,5,0.27027027027027,27,2,
7804269,65.6,65,0.0,74,2.94220240530233,0,10,0.0,0.17740691724314,4,10.9871493332926,5,0.285714285714286,26,1,
2819470,68.0,65,0.0,74,2.98761211077208,0,10,0.0,0.179141821333142,2,10.8842792127863,5,0.256410256410256,28,3,
3892147,64.8,65,0.0,74,3.03610897621537,0,10,0.0,0.199312714776632,5,11.8084926802778,5,0.303030303030303,43,0,
5718692,64.6,65,0.0,79,3.08075724436164,1,10,0.0,0.200781428195816,5,11.6895187789265,6,0.25,42,2,
9317254,68.2,65,0.0,79,3.09020807131309,1,10,0.0,0.178179966487409,3,13.7835059489868,5,0.210526315789474,45,2,
8463201,67.0,65,0.0,79,2.9377533531613,1,10,0.057541,0.184648700679445,4,13.4324928734247,5,0.222222222222222,44,1,
9450781,65.0,65,5.6,79,3.08615522700914,0,10,0.0,0.187882263393752,5,11.8079126821306,6,0.166666666666667,74,2,
9840216,61.4,65,5.6,73,3.17553067393553,0,2,0.0,0.253730382469685,5,11.8040022381668,8,0.222222222222222,72,3,
3821574,63.6,65,5.6,84,3.21379332548432,0,10,0.0,0.259209876971558,5,12.3266007839557,8,0.175438596491228,72,5,
2361549,63.0,65,8.4,81,3.11268121428558,0,10,0.0,0.280519703259021,5,15.519830089363,8,0.142857142857143,72,4,
3056417,63.4,65,5.6,83,3.18185250504839,0,2,0.0,0.272831172793036,5,11.9773904100227,8,0.212765957446809,72,5,
5308146,64.4,65,5.6,88,3.12128689779675,0,2,0.0,0.271520914645437,5,13.0253583603621,8,0.208333333333333,72,6,
1260374,60.8,65,5.6,72,3.15361180310376,0,10,0.0,0.262954625331178,5,13.3718732440666,8,0.185185185185185,72,8,
8496023,61.6,65,5.6,74,3.16392766179004,0,10,0.0,0.252497249948616,5,11.8686044007417,8,0.181818181818182,72,3,
6851203,62.6,65,5.6,79,3.13259329087417,0,10,0.0,0.259993958960147,5,12.7608851534994,8,0.178571428571429,72,4,
6283704,61.8,65,5.6,75,3.13640086098767,0,10,0.0,0.261365561965106,5,14.307873364228,8,0.181818181818182,72,3,
9425807,62.4,65,5.6,78,3.11823452298567,0,2,0.0,0.263570544455797,5,11.4745652620482,8,0.217391304347826,72,4,
1365094,62.8,65,5.6,80,3.1351149058494,0,10,0.0,0.261365561965106,5,14.4756264364429,8,0.178571428571429,72,4,
2943061,62.0,65,8.4,76,3.11286373462678,0,10,0.0,0.278121511168405,5,15.141227279055,8,0.144927536231884,72,3,
3149850,60.6,65,5.6,72,3.15315488725483,0,10,0.0,0.253441304432607,5,12.1868845129051,8,0.185185185185185,72,8,
5732806,63.8,65,0.0,75,3.02566229350333,1,10,0.0,0.231602777926551,5,13.7762449228051,6,0.258064516129032,42,1,
2078916,67.4,65,0.0,75,3.10265897207492,1,10,0.0,0.224103641018935,3,13.3677861941804,5,0.216216216216216,45,2,
6902314,66.2,65,0.0,75,2.96756525977758,1,10,0.0,0.225986928334126,4,14.012761625042,5,0.228571428571429,44,1,
9765234,64.2,65,5.6,75,3.03230198935484,0,10,0.0,0.227010205999232,5,14.0561539233938,6,0.169491525423729,74,1,
4987650,67.0,65,0.0,75,3.02118549799904,0,10,0.0,0.21943403815018,3,11.9800961270026,5,0.27027027027027,27,2,
6319528,65.8,65,0.0,75,2.94620988987702,0,10,0.0,0.21943403815018,4,12.3428316332576,5,0.285714285714286,49,1,
9720165,68.2,65,0.0,75,2.92175163921047,0,10,0.0,0.21990216824065,2,11.6585023614315,5,0.256410256410256,28,3,
9518437,65.0,65,0.0,75,2.9700512532883,0,10,0.0,0.228085323342676,5,13.6740100333593,5,0.303030303030303,43,0,
9467830,64.2,65,0.0,73,2.892938,0,5,0.0,0.200159611154652,5,11.072548,5,0.434782608695652,25,0,
1895642,66.4,65,0.0,84,2.91298551196286,0,10,0.0,0.178187175712809,5,12.2239735085119,5,0.285714285714286,25,2,
4750928,65.8,65,2.8,81,2.97902099398732,0,10,0.0,0.262937277792971,5,14.3125851968562,5,0.208333333333333,25,1,
5140362,66.2,65,0.0,83,2.94799541030822,0,5,0.0,0.18391049142992,5,10.3046189225204,5,0.4,25,2,
7932580,67.2,65,0.0,88,2.93415172636782,0,5,0.0048639999999999,0.183016696114988,5,10.9074960313689,5,0.384615384615385,16,3,
8605217,63.6,65,0.0,72,2.87977060117607,0,10,0.0,0.2279288267092,5,12.7431367162721,5,0.3125,25,5,
8653417,64.4,65,0.0,74,2.89587570784648,0,10,0.0,0.190716824855805,5,11.2167973795274,5,0.303030303030303,25,0,
8290476,65.4,65,0.0,79,2.97158324851425,0,10,0.0,0.178179966487409,5,10.9375518113803,5,0.294117647058823,25,1,
2384019,64.6,65,0.0,75,2.88907368333961,0,10,0.0,0.224103641018935,5,12.5970165614654,5,0.303030303030303,25,0,
6930741,65.2,65,0.0,78,2.98760527441587,0,5,0.0,0.178885438199983,5,10.4243561150508,5,0.416666666666667,25,1,
4867502,65.6,65,0.0,80,2.94426261856755,0,10,0.0,0.224103641018935,5,12.5648832512223,5,0.294117647058823,25,1,
9157643,64.8,65,2.8,76,2.91091000843421,0,10,0.0,0.258645214868096,5,13.6967359341922,5,0.212765957446809,25,0,
9607438,63.4,65,0.0,72,2.89207907225488,0,10,0.0,0.198687728150178,5,11.4386771977134,5,0.3125,25,5,
4528069,62.2,65,0.0,73,3.13806744355386,1,4,0.0,0.220794403122398,5,11.8121224876295,7,0.421052631578947,5,2,
1790246,64.4,65,0.0,84,3.15904952149468,1,10,0.0,0.213150440681858,5,11.8889575854485,7,0.258064516129032,5,4,
8410523,63.8,65,2.8,81,3.04880782107824,1,10,0.0,0.266897594919487,5,15.0421855392135,7,0.181818181818182,5,3,
3014689,64.2,65,0.0,83,3.11611197371193,1,4,0.0,0.223249411608884,5,11.6114376011192,7,0.380952380952381,5,4,
7348562,65.2,65,0.0,88,3.04807339587576,1,4,0.0,0.22212213093825,5,12.6499752597754,7,0.363636363636364,5,5,
6423907,61.6,65,0.0,72,3.08399584918774,1,10,0.0,0.23969492120604,5,13.302563110076,7,0.285714285714286,5,7,
1932047,62.4,65,0.0,74,3.13787009637571,1,10,0.0,0.215484846803291,5,11.5303955709389,7,0.275862068965517,5,2,
9603748,63.4,65,0.0,79,3.12172573977982,1,10,0.0,0.213576950562855,5,11.906029912565,7,0.266666666666667,5,3,
3469512,62.6,65,0.0,75,3.03766307339841,1,10,0.0,0.236906211638506,5,14.4337170579694,7,0.275862068965517,5,2,
2694380,63.2,65,0.0,78,3.1725689692159,1,4,0.0,0.215864849236958,5,11.1110584218962,7,0.4,5,3,
5648371,63.6,65,0.0,80,3.04586581483968,1,10,0.0,0.236906211638506,5,14.3586187947646,7,0.266666666666667,5,3,
5294037,62.8,65,2.8,76,3.04974930925551,1,10,0.0,0.26343055108671,5,14.8074095481212,7,0.186046511627907,5,2,
5160827,61.4,65,0.0,72,3.07887069874371,1,10,0.0,0.219909966516167,5,11.8566261883827,7,0.285714285714286,5,7,
4637091,70.0,65,0.0,84,3.00064268321028,0,10,0.0,0.159233637725358,2,13.0897989594422,5,0.24390243902439,33,3,
