id,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,YangSolidSolution|Yang delta,AtomicOrbitals|gap_AO,ElementProperty|MagpieData mean MendeleevNumber,YangSolidSolution|Yang omega,ElementProperty|MagpieData range NUnfilled,hull_distance
1790246,84,2,-1.87582084983592,1,3.52,0.213150440681858,0.0,64.4,0.43567369030864,4,
8410523,81,2,-1.90095240877553,1,7.68,0.266897594919487,0.0,63.8,0.970213272872947,3,
3014689,83,2,-1.87753863737669,1,0.96,0.223249411608884,0.0,64.2,0.292538118553825,4,
7348562,88,2,-1.94009948876224,1,1.12,0.22212213093825,0.0,65.2,18566250.8500367,5,
6423907,72,2,-1.78269645537565,1,2.56,0.23969492120604,0.0,61.6,0.704142643290863,7,
1932047,74,2,-1.8073229981054,1,2.88,0.215484846803291,0.0,62.4,0.523192079226391,2,
9603748,79,2,-1.84560718194035,1,3.2,0.213576950562855,0.0,63.4,0.431249198448736,3,
3469512,75,2,-1.80129175232401,1,2.88,0.236906211638506,0.0,62.6,0.776618913699779,2,
2694380,78,2,-1.82494920190639,1,0.8,0.215864849236958,0.0,63.2,0.365944924105601,3,
5648371,80,2,-1.83633230437501,1,3.2,0.236906211638506,0.0,63.6,0.64460823773896,3,
5294037,76,2,-1.76767761775393,1,7.36,0.26343055108671,0.0,62.8,1.07370160702509,2,
5160827,72,2,-1.77417660789299,1,2.56,0.219909966516167,0.0,61.4,0.568454316382676,7,
4637091,84,2,-2.01352354604029,2,4.16,0.159233637725358,0.0,70.0,0.888793236937251,3,
3740286,81,1,-2.04049999513884,2,6.88,0.263570544455797,0.068933,69.4,9.59571202536925,3,
5146839,83,2,-2.01536743516262,2,3.04,0.161428299141188,0.0,69.8,0.566165363862196,3,
4768210,88,2,-2.08252083487887,2,2.88,0.160727595430146,0.050912,70.8,14980827.0041476,3,
2043178,79,1,-1.98109191392292,2,4.0,0.158885978904878,0.060882,69.0,0.712870614675877,3,
1487932,80,1,-1.9711361740845,2,4.0,0.21990216824065,0.066314,69.2,1.39573235634829,3,
3215784,73,2,-1.65437060737829,2,0.0,0.262924903061244,0.0,47.8,0.342878481789598,4,
8315042,84,2,-1.75775737607006,2,3.84,0.271013549918708,0.0,50.0,0.291548331526338,6,
3627410,81,2,-1.78130716394139,2,8.0,0.285329741988027,0.005228,49.4,0.407678335846539,5,
1743698,83,2,-1.75936704669537,2,0.64,0.285289029116658,0.0,49.8,0.213371171222696,6,
4127693,88,2,-1.81799034112447,2,0.96,0.283945535334322,0.0,50.8,15282535.8600639,7,
9354761,72,2,-1.6704941967164,2,2.88,0.270037699039819,0.0,47.2,0.384932068446988,9,
8927605,74,2,-1.69357075391219,2,3.2,0.26253183938881,0.0,48.0,0.333024784304493,4,
4327501,79,2,-1.72944534530966,2,3.52,0.271865037327236,0.0132789999999999,49.0,0.29038624684112,5,
7985463,75,2,-1.68791911252008,2,3.2,0.268719638579442,0.0,48.2,0.393318108064085,4,
9182473,78,2,-1.71008757093447,2,0.32,0.275682924715776,0.01669,48.8,0.27715448054107,5,
