id,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,YangSolidSolution|Yang delta,AtomicOrbitals|gap_AO,ElementProperty|MagpieData mean MendeleevNumber,YangSolidSolution|Yang omega,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean AtomicWeight,ValenceOrbital|avg d valence electrons,ElementProperty|MagpieData range MendeleevNumber,ValenceOrbital|frac f valence electrons,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData maximum Electronegativity,ValenceOrbital|frac s valence electrons,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mean NUnfilled,ValenceOrbital|frac p valence electrons,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData maximum NUnfilled,ValenceOrbital|frac d valence electrons,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData avg_dev NUnfilled,hull_distance
7243896,75,2,-1.82801309569024,1,2.72,0.222451146254413,0.0,63.4,2.16655673147415,1,0.38,48.08644,4.0,26,0.0,117.6,2.04,0.258064516129032,0.1632,5.4,0.0967741935483871,13,6,0.645161290322581,1.836,1.66,5,6.2,11.52,0.48,
4165230,78,2,-1.85202149277051,1,1.28,0.172044228070584,0.0,64.0,0.521142827599055,2,0.38,30.73994,2.0,29,0.0,111.4,2.04,0.363636363636364,0.16,5.2,0.181818181818182,6,6,0.454545454545454,1.86,1.66,4,4.4,12.0,0.64,
3041965,80,2,-1.86357345838373,1,3.04,0.222451146254413,0.0,64.4,1.54147919594534,2,0.38,48.86484,4.0,31,0.0,117.0,2.04,0.25,0.1696,5.2,0.125,14,6,0.625,1.872,1.66,4,6.4,12.32,0.64,
7063891,84,1,-1.97935549718201,2,3.52,0.15612386257877,0.0,67.6,0.920913659046864,2,0.35,41.64672,4.4,29,0.0,110.2,2.18,0.27027027027027,0.1232,4.2,0.135135135135135,15,5,0.594594594594595,1.984,1.83,3,7.4,10.08,0.64,
9328467,81,3,-2.00587417530857,2,7.2,0.263891812849298,0.097071,67.0,6.9840729325782,1,0.5,68.1024,4.4,26,0.28,115.6,2.33,0.2,0.1472,4.4,0.08,28,5,0.44,2.014,1.83,4,10.0,9.6,0.48,
5196087,83,2,-1.98116809682986,2,2.08,0.157618547511842,0.0,67.4,0.520170442174738,2,0.36,32.8571524,2.4,28,0.0,107.8,2.19,0.37037037037037,0.1248,4.2,0.185185185185185,8,5,0.444444444444444,1.986,1.83,3,5.4,9.92,0.64,
2673845,88,2,-2.04718195156934,2,2.08,0.156956739165573,0.0,68.4,15272011.1325319,3,0.75,33.0754,2.4,33,0.0,107.4,2.58,0.357142857142857,0.2064,4.0,0.214285714285714,8,5,0.428571428571429,2.064,1.83,2,5.6,10.72,0.8,
8054917,79,3,-1.94747420657564,2,3.36,0.155709800070947,0.097071,66.6,0.768185803792121,1,0.21,41.1904,4.4,24,0.0,110.4,2.04,0.277777777777778,0.0959999999999999,4.4,0.111111111111111,14,5,0.611111111111111,1.95,1.83,4,7.2,9.28,0.48,
5619803,78,3,-1.92567602347916,2,2.24,0.154906931004829,0.097071,66.4,0.543006904689055,1,0.21,32.2795,2.4,23,0.0,108.6,2.04,0.384615384615385,0.0896,4.4,0.153846153846154,8,5,0.461538461538462,1.928,1.83,4,5.2,9.12,0.48,
4267580,80,3,-1.93768740849402,2,3.36,0.21943403815018,0.097071,66.8,2.10281958769752,1,0.21,50.4044,4.4,25,0.0,114.2,2.04,0.277777777777778,0.088,4.4,0.111111111111111,14,5,0.611111111111111,1.94,1.83,4,7.2,9.44,0.48,
4203176,74,3,-2.03783624528193,1,2.72,0.20609831249986,0.0,63.6,1.07548662473435,1,0.35,56.653,4.0,24,0.0,119.6,2.16,0.258064516129032,0.0944,5.4,0.0967741935483871,13,6,0.645161290322581,2.042,1.81,5,6.2,10.88,0.48,
4265083,74,1,-2.0823883275275,1,3.52,0.190716824855805,0.0,67.2,0.752564890434923,2,0.47,59.4312,5.2,15,0.0,114.8,2.28,0.216216216216216,0.152,4.2,0.081081081081081,13,5,0.702702702702703,2.09,1.81,3,7.4,6.56,0.96,
6752138,74,3,-2.05284828543013,1,3.2,0.194942090256101,0.0,66.0,1.05629024231989,1,0.39,58.697,4.8,18,0.0,116.4,2.2,0.228571428571429,0.1136,4.6,0.0857142857142857,13,5,0.685714285714286,2.058,1.81,4,7.0,8.0,0.48,
5902371,74,3,-2.11131281204299,2,7.04,0.197110518441763,0.0,64.0,1.50914238620401,1,0.55,91.805,3.6,23,0.474576271186441,122.8,2.36,0.169491525423729,0.1904,5.4,0.0508474576271186,20,6,0.305084745762712,2.122,1.81,5,11.8,10.4,0.48,
3264017,74,1,-1.92775093149636,2,3.52,0.17740691724314,0.0,66.8,0.882739802081724,2,0.23,41.842278,4.8,16,0.0,108.4,2.04,0.27027027027027,0.088,4.2,0.081081081081081,13,5,0.648648648648649,1.93,1.81,3,7.4,7.04,0.96,
7804269,74,3,-1.90707695342885,2,3.2,0.17740691724314,0.0,65.6,0.984513116618763,1,0.23,40.607,4.4,19,0.0,110.8,2.04,0.285714285714286,0.104,4.6,0.0857142857142857,13,5,0.628571428571429,1.91,1.81,4,7.0,8.48,0.48,
2819470,74,1,-1.93999731493744,2,3.84,0.179141821333142,0.0,68.0,0.813099635026308,3,0.23,41.74636,5.2,13,0.0,107.6,2.04,0.256410256410256,0.0784,3.8,0.0769230769230769,13,5,0.666666666666667,1.942,1.81,2,7.8,5.6,1.44,
3892147,74,3,-1.93592809406052,2,2.88,0.199312714776632,0.0,64.8,1.00079418896756,0,0.23,57.469,4.0,21,0.0,116.8,2.04,0.303030303030303,0.0816,5.0,0.0909090909090909,13,5,0.606060606060606,1.938,1.81,5,6.6,9.44,0.0,
5718692,79,3,-2.08100334796456,1,3.04,0.200781428195816,0.0,64.6,0.782094749031133,2,0.15,57.2364,4.0,29,0.0,119.2,2.16,0.25,0.0624,5.2,0.125,14,6,0.625,2.082,2.01,4,6.4,11.68,0.64,
9317254,79,1,-2.12649916860593,1,3.68,0.178179966487409,0.0,68.2,0.711337281252167,2,0.27,60.0146,5.2,20,0.0,114.4,2.28,0.210526315789474,0.12,4.0,0.105263157894737,14,5,0.684210526315789,2.13,2.01,3,7.6,7.36,0.8,
8463201,79,3,-2.09633338534147,1,3.36,0.184648700679445,0.057541,67.0,0.909901311986833,1,0.19,59.2804,4.8,23,0.0,116.0,2.2,0.222222222222222,0.0816,4.4,0.111111111111111,14,5,0.666666666666667,2.098,2.01,4,7.2,8.8,0.48,
