id,ElementProperty|MagpieData mean MendeleevNumber,GlobalSymmetryFeatures|spacegroup_num,ValenceOrbital|avg f valence electrons,ElementProperty|MagpieData maximum MendeleevNumber,LatticeConstants|a,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData maximum NdValence,AtomicOrbitals|gap_AO,YangSolidSolution|Yang delta,ElementProperty|MagpieData mode NUnfilled,hull_distance
5648371,63.6,65,0.0,80,3.04586581483968,1,10,0.0,0.236906211638506,5,
5294037,62.8,65,2.8,76,3.04974930925551,1,10,0.0,0.26343055108671,5,
5160827,61.4,65,0.0,72,3.07887069874371,1,10,0.0,0.219909966516167,5,
4637091,70.0,65,0.0,84,3.00064268321028,0,10,0.0,0.159233637725358,2,
3740286,69.4,65,2.8,81,3.05283424907436,0,10,0.068933,0.263570544455797,2,
5146839,69.8,65,0.0,83,3.05251140526184,0,8,0.0,0.161428299141188,2,
4768210,70.8,65,0.0,88,3.11720793796411,0,8,0.050912,0.160727595430146,2,
2043178,69.0,65,0.0,79,3.01571454867458,0,10,0.060882,0.158885978904878,2,
1487932,69.2,65,0.0,80,3.02281493758441,0,10,0.066314,0.21990216824065,2,
3215784,47.8,65,0.0,73,3.17192432609778,0,1,0.0,0.262924903061244,5,
8315042,50.0,65,0.0,84,3.11801769016852,0,10,0.0,0.271013549918708,5,
3627410,49.4,65,2.8,81,3.14633174810822,0,10,0.005228,0.285329741988027,5,
1743698,49.8,65,0.0,83,3.22580808073177,0,1,0.0,0.285289029116658,5,
4127693,50.8,65,0.0,88,3.16640485724968,0,1,0.0,0.283945535334322,5,
9354761,47.2,65,0.0,72,3.15671284081294,0,10,0.0,0.270037699039819,5,
8927605,48.0,65,0.0,74,3.15646240628787,0,10,0.0,0.26253183938881,5,
4327501,49.0,65,0.0,79,3.18303321842763,0,10,0.013279,0.271865037327236,5,
7985463,48.2,65,0.0,75,3.22372459206992,0,10,0.0,0.268719638579442,5,
9182473,48.8,65,0.0,78,3.1595195258916,0,1,0.01669,0.275682924715776,5,
5891230,49.2,65,0.0,80,3.23970666308272,0,10,0.0078469999999999,0.268719638579442,5,
4960875,48.4,65,2.8,76,3.10619443870927,0,10,0.0,0.283191991556316,5,
1804532,47.0,65,0.0,72,3.15756859721586,0,10,0.0,0.262760287619724,5,
3250478,64.4,65,0.0,78,3.06888883058863,1,5,0.0,0.202578196402434,5,
2081546,68.0,65,0.0,78,3.03861111697859,1,8,0.0,0.178885438199983,3,
9546732,66.8,65,0.0,78,2.96037992298991,1,7,0.057082,0.185701388442046,4,
9180765,64.8,65,5.6,78,3.06967808317773,0,4,0.0,0.189097130479147,5,
8512390,68.8,65,0.0,78,2.9610985540118,0,8,0.057471,0.158331148245701,2,
4693502,65.6,65,0.0,78,3.01775519944448,0,5,0.0,0.192483463542617,5,
5831672,64.8,65,0.0,80,3.03743878015135,1,10,0.0,0.231602777926551,5,
7483150,68.4,65,0.0,80,3.06439072383707,1,10,0.0,0.224103641018935,3,
6807539,67.2,65,0.0,80,2.95781712894043,1,10,0.057541,0.225986928334126,4,
2498173,65.2,65,5.6,80,3.03758969409779,0,10,0.0,0.227010205999232,5,
5814072,62.6,65,5.6,73,3.08974610914309,0,3,0.0,0.224959401996074,5,
4352098,64.8,65,5.6,84,3.13782033637664,0,10,0.0,0.21943403815018,5,
4306815,64.2,65,8.4,81,3.02216153157171,0,10,0.0,0.268231694971903,5,
6025847,64.6,65,5.6,83,3.10094215657419,0,3,0.0,0.230129272900225,5,
6083594,65.6,65,5.6,88,3.02198316560043,0,3,0.0,0.228970658178648,5,
5372069,62.0,65,5.6,72,3.02355653261222,0,10,0.0,0.242402175575985,5,
