id,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean Electronegativity,YangSolidSolution|Yang delta,hull_distance
20819547,61,84,0,2.016,0.159233637725358,
74920653,61,81,14,2.046,0.263570544455797,
72015384,61,83,0,2.018,0.161428299141188,
46752830,61,88,0,2.096,0.160727595430146,
50648317,61,79,0,1.982,0.158885978904878,
59806341,61,80,0,1.972,0.21990216824065,
47098521,11,73,0,1.682,0.262924903061244,
96302148,11,84,0,1.796,0.271013549918708,
39062841,11,81,14,1.826,0.285329741988027,
93481752,11,83,0,1.798,0.285289029116658,
18952376,11,88,0,1.876,0.283945535334322,
61487350,11,72,0,1.698,0.270037699039819,
40236598,11,74,0,1.722,0.26253183938881,
51398260,11,79,0,1.762,0.271865037327236,
12507849,11,75,0,1.716,0.268719638579442,
87196024,11,78,0,1.74,0.275682924715776,
41267093,11,80,0,1.752,0.268719638579442,
32156478,11,76,14,1.684,0.283191991556316,
59230168,11,72,0,1.69,0.262760287619724,
20456318,50,78,0,2.06,0.202578196402434,
58346072,59,78,0,2.108,0.178885438199983,
63175049,56,78,0,2.076,0.185701388442046,
94130527,51,78,14,2.14,0.189097130479147,
81437256,61,78,0,1.96,0.158331148245701,
12374650,53,78,0,1.956,0.192483463542617,
83764925,50,80,0,2.072,0.23160277792655,
10378294,59,80,0,2.12,0.224103641018935,
40596718,56,80,0,2.088,0.225986928334126,
31879054,51,80,14,2.152,0.227010205999232,
13658924,48,73,14,1.738,0.224959401996074,
89231046,48,84,14,1.852,0.21943403815018,
15780629,48,81,14,1.882,0.268231694971903,
60573841,48,83,14,1.854,0.230129272900225,
79631548,48,88,14,1.932,0.228970658178648,
18967543,48,72,14,1.754,0.242402175575985,
38960417,48,74,14,1.778,0.220290212623661,
94528706,48,79,14,1.818,0.219920534778184,
41085739,48,75,14,1.772,0.239789643170869,
74920568,48,78,14,1.796,0.222425579695966,
69578014,48,80,14,1.808,0.239789643170869,
56489170,48,76,14,1.74,0.264913467479685,
13480652,48,72,14,1.746,0.224167492537235,
93507642,53,84,0,2.012,0.1909393200764,
32875906,53,81,14,2.042,0.263665594855305,
75684932,53,83,0,2.014,0.198506822748453,
62941037,53,88,0,2.092,0.197513870931583,
23705914,53,79,0,1.978,0.191113474478257,
15860437,53,80,0,1.968,0.228085323342676,
30694825,43,73,0,1.754,0.218749796067152,
10392748,43,84,0,1.868,0.209995949191285,
43860715,43,81,14,1.898,0.266295389153379,
59481307,43,83,0,1.87,0.219777902585687,
43790281,43,88,0,1.948,0.218667330678684,
76415208,43,72,0,1.77,0.238398392326702,
97408251,43,74,0,1.794,0.213107641729921,
19743065,43,79,0,1.834,0.210390650027185,
82354971,43,75,0,1.788,0.235519909704064,
21064358,43,78,0,1.812,0.212563245345417,
34189275,43,80,0,1.824,0.235519909704064,
71248596,43,76,14,1.756,0.262753528539836,
92057831,43,72,0,1.762,0.217817456702727,
56920873,50,76,14,2.004,0.260995184744858,
39720486,59,76,14,2.052,0.258645214868096,
27845619,56,76,14,2.02,0.25904940591323,
23074169,51,76,14,2.084,0.259334182314429,
97183264,58,76,14,1.892,0.259094811964668,
42368795,49,76,14,1.804,0.258469753691621,
42936180,55,76,14,1.872,0.259094811964668,
37068241,61,76,14,1.904,0.258843582110896,
50619347,53,76,14,1.9,0.259672410290298,
65349018,46,76,14,1.792,0.25904940591323,
94185602,46,84,0,1.904,0.184561293402918,
31254760,46,81,14,1.934,0.263192564548187,
65790324,46,83,0,1.906,0.191249486918778,
37049621,46,88,0,1.984,0.190303673560118,
56140738,46,72,0,1.806,0.229617304492512,
50836291,46,74,0,1.83,0.194942090256101,
79324150,46,79,0,1.87,0.184648700679445,
20419573,46,75,0,1.824,0.225986928334126,
62157849,46,78,0,1.848,0.185701388442046,
43065218,46,80,0,1.86,0.225986928334126,
61792438,46,72,0,1.798,0.202199855056514,
75149062,12,73,0,1.626,0.302273053096464,
52634817,12,84,0,1.74,0.318672975713327,
64021875,12,81,14,1.77,0.309338157101142,
43780952,12,83,0,1.742,0.3349241144117,
84135296,12,88,0,1.82,0.333483220730307,
32450971,12,72,0,1.642,0.302228149649038,
58642793,12,74,0,1.666,0.304617729274255,
43206985,12,79,0,1.706,0.319731337741697,
36509124,12,75,0,1.66,0.301851901522851,
81294637,12,78,0,1.684,0.32428517299299,
98526013,12,80,0,1.696,0.301851901522851,
50942871,12,76,14,1.628,0.30816399964714,
96138204,12,72,0,1.634,0.30251785287486,
83265941,50,72,0,2.01,0.211706612085769,
67905128,59,72,0,2.058,0.198687728150178,
56893071,56,72,0,2.026,0.202199855056514,
83197206,51,72,14,2.09,0.204023067472066,
