id,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean Electronegativity,YangSolidSolution|Yang delta,ValenceOrbital|frac d valence electrons,ElementProperty|MagpieData avg_dev AtomicWeight,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData mean NdValence,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData avg_dev NValence,ElementProperty|MagpieData maximum NUnfilled,AtomicOrbitals|gap_AO,ElementProperty|MagpieData maximum CovalentRadius,ValenceOrbital|frac s valence electrons,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData maximum Electronegativity,ValenceOrbital|frac f valence electrons,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData mean NdUnfilled,ElementProperty|MagpieData mode NUnfilled,ElementProperty|MagpieData maximum NdUnfilled,ElementProperty|MagpieData avg_dev NUnfilled,hull_distance
69538402,55,81,14,2.014,0.263891812849298,0.44,55.63904,67.0,0.5,115.6,9.6,10,1,4.4,4.4,0.1472,7.2,5,0.097071,146,0.2,26,2.33,0.28,1.83,28,1.6,4,4,0.48,
71465098,55,83,0,1.986,0.157618547511842,0.444444444444444,18.39027808,67.4,0.36,107.8,9.92,6,2,4.2,2.4,0.1248,2.08,5,0.0,132,0.37037037037037,28,2.19,0.0,1.83,8,1.6,4,4,0.64,
94715302,55,88,0,2.064,0.156956739165573,0.428571428571429,18.21568,68.4,0.75,107.4,10.72,6,3,4.0,2.4,0.2064,2.08,5,0.0,132,0.357142857142857,33,2.58,0.0,1.83,8,1.6,4,4,0.8,
32468591,55,79,0,1.95,0.155709800070947,0.611111111111111,24.30352,66.6,0.21,110.4,9.28,10,1,4.4,4.4,0.0959999999999999,3.36,5,0.097071,132,0.277777777777778,24,2.04,0.0,1.83,14,1.6,4,4,0.48,
98016472,55,78,0,1.928,0.154906931004829,0.461538461538462,18.8524,66.4,0.21,108.6,9.12,6,1,4.4,2.4,0.0896,2.24,5,0.097071,132,0.384615384615385,23,2.04,0.0,1.83,8,1.6,4,4,0.48,
10857693,55,80,0,1.94,0.21943403815018,0.611111111111111,31.67472,66.8,0.21,114.2,9.44,10,1,4.4,4.4,0.088,3.36,5,0.097071,139,0.277777777777778,25,2.04,0.0,1.83,14,1.6,4,4,0.48,
16958274,50,74,0,2.042,0.20609831249986,0.645161290322581,36.6736,63.6,0.35,119.6,10.88,10,1,5.4,4.0,0.0944,2.72,6,0.0,154,0.258064516129032,24,2.16,0.0,1.81,13,2.0,5,5,0.48,
93608745,59,74,0,2.09,0.190716824855805,0.702702702702703,38.89616,67.2,0.47,114.8,6.56,10,2,4.2,5.2,0.152,3.52,5,0.0,142,0.216216216216216,15,2.28,0.0,1.81,13,0.8,3,2,0.96,
12064358,56,74,0,2.058,0.194942090256101,0.685714285714286,38.3088,66.0,0.39,116.4,8.0,10,1,4.6,4.8,0.1136,3.2,5,0.0,146,0.228571428571429,18,2.2,0.0,1.81,13,1.2,4,3,0.48,
95240316,51,74,14,2.122,0.197110518441763,0.305084745762712,73.628,64.0,0.55,122.8,10.4,10,1,5.4,3.6,0.1904,7.04,6,0.0,162,0.169491525423729,23,2.36,0.474576271186441,1.81,20,2.4,5,6,0.48,
85397462,58,74,0,1.93,0.17740691724314,0.648648648648649,24.8250224,66.8,0.23,108.4,7.04,10,2,4.2,4.8,0.088,3.52,5,0.0,126,0.27027027027027,16,2.04,0.0,1.81,13,1.2,3,3,0.96,
34209168,55,74,0,1.91,0.17740691724314,0.628571428571429,23.8368,65.6,0.23,110.8,8.48,10,1,4.6,4.4,0.104,3.2,5,0.0,132,0.285714285714286,19,2.04,0.0,1.81,13,1.6,4,4,0.48,
41253670,61,74,0,1.942,0.179141821333142,0.666666666666667,24.748288,68.0,0.23,107.6,5.6,10,3,3.8,5.2,0.0784,3.84,5,0.0,124,0.256410256410256,13,2.04,0.0,1.81,13,0.8,2,2,1.44,
54789260,53,74,0,1.938,0.199312714776632,0.606060606060606,37.3264,64.8,0.23,116.8,9.44,10,0,5.0,4.0,0.0816,2.88,5,0.0,147,0.303030303030303,21,2.04,0.0,1.81,13,2.0,5,5,0.0,
32508179,50,79,0,2.082,0.200781428195816,0.625,37.14032,64.6,0.15,119.2,11.68,10,2,5.2,4.0,0.0624,3.04,6,0.0,154,0.25,29,2.16,0.0,2.01,14,2.0,5,5,0.64,
92165478,59,79,0,2.13,0.178179966487409,0.684210526315789,39.36288,68.2,0.27,114.4,7.36,10,2,4.0,5.2,0.12,3.68,5,0.0,142,0.210526315789474,20,2.28,0.0,2.01,14,0.8,3,2,0.8,
78351290,56,79,0,2.098,0.184648700679445,0.666666666666667,38.77552,67.0,0.19,116.0,8.8,10,1,4.4,4.8,0.0816,3.36,5,0.057541,146,0.222222222222222,23,2.2,0.0,2.01,14,1.2,4,3,0.48,
85902746,51,79,14,2.162,0.187882263393752,0.3,73.16128,65.0,0.35,122.4,11.2,10,2,5.2,3.6,0.1584,7.2,6,0.0,162,0.166666666666667,28,2.36,0.466666666666667,2.01,20,2.4,5,6,0.64,
68293104,45,73,14,1.658,0.253730382469685,0.0888888888888888,77.898633824,61.4,0.74,127.8,13.12,2,3,6.2,0.8,0.3056,7.2,8,0.0,175,0.222222222222222,28,2.04,0.622222222222222,1.3,18,3.2,5,8,1.44,
23750186,45,84,14,1.772,0.259209876971558,0.245614035087719,70.228224,63.6,0.88,127.4,14.88,10,5,5.8,2.8,0.3776,6.72,8,0.0,175,0.175438596491228,39,2.18,0.491228070175439,1.3,18,3.2,5,8,1.76,
72803641,45,81,14,1.802,0.280519703259021,0.2,85.07952,63.0,1.03,132.8,14.4,10,4,6.0,2.8,0.4016,8.8,8,0.0,175,0.142857142857143,36,2.33,0.6,1.3,28,3.2,5,8,1.6,
91052873,45,83,14,1.774,0.272831172793036,0.0851063829787234,77.25987808,63.4,0.89,125.0,14.72,2,5,5.8,0.8,0.3792,6.88,8,0.0,175,0.212765957446809,38,2.19,0.595744680851064,1.3,18,3.2,5,8,1.76,
72153046,45,88,14,1.852,0.271520914645437,0.0833333333333333,77.08528,64.4,1.28,124.6,15.52,2,6,5.6,0.8,0.4416,6.72,8,0.0,175,0.208333333333333,43,2.58,0.583333333333333,1.3,18,3.2,5,8,1.92,
61927503,45,72,14,1.674,0.262954625331178,0.259259259259259,69.91328,60.8,0.74,132.4,12.64,10,8,5.2,2.8,0.2992,6.24,8,0.0,175,0.185185185185185,27,2.04,0.518518518518518,1.3,18,3.2,5,8,2.24,
45068793,45,74,14,1.698,0.252497249948616,0.254545454545455,71.06,61.6,0.74,128.0,13.28,10,3,6.2,2.8,0.3184,6.4,8,0.0,175,0.181818181818182,29,2.04,0.509090909090909,1.3,18,3.2,5,8,1.44,
86192507,45,79,14,1.738,0.259993958960147,0.25,70.59328,62.6,0.74,127.6,14.08,10,4,6.0,2.8,0.3504,6.56,8,0.0,175,0.178571428571428,34,2.04,0.5,1.3,18,3.2,5,8,1.6,
48270965,45,75,14,1.692,0.261365561965106,0.254545454545455,70.2984,61.8,0.74,132.0,13.44,10,3,6.2,2.8,0.3136,6.4,8,0.0,175,0.181818181818182,30,2.04,0.509090909090909,1.3,18,3.2,5,8,1.44,
85709634,45,78,14,1.716,0.263570544455797,0.0869565217391304,77.722,62.4,0.74,125.8,13.92,2,4,6.0,0.8,0.3328,7.04,8,0.0,175,0.217391304347826,33,2.04,0.608695652173913,1.3,18,3.2,5,8,1.6,
17596823,45,80,14,1.728,0.261365561965106,0.25,70.92112,62.8,0.74,131.4,14.24,10,4,6.0,2.8,0.3424,6.56,8,0.0,175,0.178571428571428,35,2.04,0.5,1.3,18,3.2,5,8,1.6,
20694735,45,76,14,1.66,0.278121511168405,0.202898550724638,84.628848,62.0,0.74,132.6,13.6,10,3,6.2,2.8,0.304,8.64,8,0.0,175,0.144927536231884,31,2.04,0.608695652173913,1.3,27,3.2,5,8,1.44,
67381945,45,72,14,1.666,0.253441304432607,0.259259259259259,71.75488,60.6,0.74,128.0,12.48,10,8,5.2,2.8,0.2992,6.24,8,0.0,175,0.185185185185185,27,2.04,0.518518518518518,1.3,18,3.2,5,8,2.24,
31286905,50,75,0,2.036,0.23160277792655,0.645161290322581,43.8888,63.8,0.38,123.6,11.04,10,1,5.4,4.0,0.1024,2.72,6,0.0,154,0.258064516129032,25,2.16,0.0,1.78,13,2.0,5,5,0.48,
67239801,59,75,0,2.084,0.224103641018935,0.702702702702703,46.11136,67.4,0.5,118.8,6.72,10,2,4.2,5.2,0.1568,3.52,5,0.0,142,0.216216216216216,16,2.28,0.0,1.78,13,0.8,3,2,0.96,
49670328,56,75,0,2.052,0.225986928334126,0.685714285714286,45.524,66.2,0.42,120.4,8.16,10,1,4.6,4.8,0.1184,3.2,5,0.0,146,0.228571428571429,19,2.2,0.0,1.78,13,1.2,4,3,0.48,
82139740,51,75,14,2.116,0.227010205999232,0.305084745762712,72.0104,64.2,0.58,126.8,10.56,10,1,5.4,3.6,0.1952,7.04,6,0.0,162,0.169491525423729,24,2.36,0.474576271186441,1.78,20,2.4,5,6,0.48,
12304586,58,75,0,1.924,0.21943403815018,0.648648648648649,32.0402224,67.0,0.26,112.4,7.2,10,2,4.2,4.8,0.0928,3.52,5,0.0,142,0.27027027027027,17,2.04,0.0,1.78,13,1.2,3,3,0.96,
61932785,55,75,0,1.904,0.21943403815018,0.628571428571429,31.052,65.8,0.26,114.8,8.64,10,1,4.6,4.4,0.1088,3.2,5,0.0,142,0.285714285714286,20,2.04,0.0,1.78,13,1.6,4,4,0.48,
38549061,61,75,0,1.936,0.21990216824065,0.666666666666667,31.963488,68.2,0.26,111.6,5.76,10,3,3.8,5.2,0.0832,3.84,5,0.0,142,0.256410256410256,14,2.04,0.0,1.78,13,0.8,2,2,1.44,
62897034,53,75,0,1.932,0.228085323342676,0.606060606060606,44.5416,65.0,0.26,120.8,9.6,10,0,5.0,4.0,0.0864,2.88,5,0.0,147,0.303030303030303,22,2.04,0.0,1.78,13,2.0,5,5,0.0,
76402381,52,73,0,1.758,0.200159611154652,0.434782608695652,18.593695424,64.2,0.49,113.4,9.76,5,0,5.0,2.0,0.2256,1.92,5,0.0,139,0.434782608695652,21,2.04,0.0,1.55,7,2.0,5,5,0.0,
26408915,52,84,0,1.872,0.178187175712809,0.571428571428571,24.3783504,66.4,0.63,113.0,11.52,10,2,4.6,4.0,0.2576,3.2,5,0.0,139,0.285714285714286,32,2.18,0.0,1.55,15,2.0,5,5,0.64,
93270846,52,81,14,1.902,0.262937277792971,0.416666666666667,55.7841528,65.8,0.78,118.4,11.04,10,1,4.8,4.0,0.2816,7.36,5,0.0,146,0.208333333333333,29,2.33,0.291666666666667,1.55,28,2.0,5,5,0.32,
67851930,52,83,0,1.874,0.18391049142992,0.4,17.95493968,66.2,0.64,110.6,11.36,5,2,4.6,2.0,0.2592,1.6,5,0.0,139,0.4,31,2.19,0.0,1.55,7,2.0,5,5,0.64,
79648230,52,88,0,1.952,0.183016696114988,0.384615384615385,17.7803416,67.2,1.03,110.2,12.16,5,3,4.4,2.0,0.3216,1.76,5,0.0048639999999999,139,0.384615384615385,36,2.58,0.0,1.55,7,2.0,5,5,0.96,
20519736,52,72,0,1.774,0.2279288267092,0.625,30.3766544,63.6,0.49,118.0,9.28,10,5,4.0,4.0,0.2128,2.72,5,0.0,144,0.3125,20,2.04,0.0,1.55,12,2.0,5,5,1.6,
